flowId,src,dst,txPackets,rxPackets,lostPackets,throughputMbps,meanDelayMs
1,10.1.1.1,10.1.3.2,4030,3970,35,0.982377,116.376
2,10.1.3.2,10.1.1.1,2339,2336,0,0.0555467,24.5605
