flowId,src,dst,txPackets,rxPackets,lostPackets,throughputMbps,meanDelayMs
1,10.1.1.1,10.1.3.2,4041,4010,13,0.992402,102.836
2,10.1.3.2,10.1.1.1,2125,2122,0,0.0479246,24.5333
